ESTU_GENERO,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULACREDITO,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_NUMPERSONASACARGO,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL,FELICIDAD
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,1,0,97,80%
F,Menos de 500 mil,No,Estrato 5,Si,Si,Si,Si,Si,0,Más de 30 horas,76,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,215,80%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 4,Si,Si,Si,Si,No,0,Menos de 10 horas,190,80%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,0,0,180,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,2,Menos de 10 horas,180,80%
M,Más de 7 millones,No,Estrato 6,Si,Si,Si,Si,No,1,0,178,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,1,Más de 30 horas,172,80%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,0,0,170,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,0,162,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,154,80%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,0,Más de 30 horas,146,80%
M,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,142,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,1,0,142,80%
M,Menos de 500 mil,Si,Estrato 3,Si,Si,Si,Si,Si,1,Menos de 10 horas,138,80%
F,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,135,80%
M,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,0,Entre 11 y 20 horas,126,80%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,Si,Si,1,Entre 11 y 20 horas,105,80%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,1,0,196,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 6,Si,Si,Si,Si,No,0,Más de 30 horas,168,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Menos de 10 horas,162,80%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,1,Más de 30 horas,150,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,150,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,2,0,149,80%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,0,147,80%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 6,Si,Si,Si,Si,No,1,0,146,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,1,0,137,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,1,Más de 30 horas,135,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,0,133,80%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 5,Si,Si,Si,Si,Si,0,Más de 30 horas,126,80%
M,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,0,Entre 11 y 20 horas,125,80%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,122,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,Si,2,0,120,80%
M,No pagó matrícula,No,Estrato 1,Si,Si,Si,No,Si,2,0,118,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,0,94,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,1,0,75,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,1,80%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,0,Más de 30 horas,200,70%
M,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,0,Menos de 10 horas,191,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,No,Si,No,1,0,184,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Menos de 10 horas,183,70%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 6,Si,Si,Si,Si,No,0,Entre 11 y 20 horas,182,70%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 3,Si,Si,Si,Si,Si,2,Menos de 10 horas,181,70%
M,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,173,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 6,Si,Si,Si,Si,Si,0,Más de 30 horas,173,70%
F,Entre 5.5 millones y menos de 7 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,0,168,70%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 5,Si,Si,Si,Si,No,0,Menos de 10 horas,167,70%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,0,Entre 21 y 30 horas,162,70%
F,Entre 5.5 millones y menos de 7 millones,No,Estrato 5,Si,Si,Si,Si,No,0,Entre 11 y 20 horas,156,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,156,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,155,70%
M,Entre 500 mil y menos de 1 millón,Si,Estrato 3,Si,Si,Si,Si,No,1,0,155,70%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 3,Si,Si,Si,Si,No,1,0,153,70%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,Si,1,Más de 30 horas,153,70%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,2,Menos de 10 horas,151,70%
F,Menos de 500 mil,No,Estrato 5,Si,Si,Si,Si,No,0,Más de 30 horas,148,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,144,70%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,142,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,0,Más de 30 horas,142,70%
M,Entre 2.5 millones y menos de 4 millones,Si,Estrato 4,Si,Si,Si,Si,No,0,0,139,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,1,Entre 21 y 30 horas,135,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,Si,1,Más de 30 horas,132,70%
M,Entre 500 mil y menos de 1 millón,Si,Estrato 2,Si,Si,Si,Si,Si,2,0,128,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,123,70%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,Si,No,0,0,120,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,1,0,119,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,1,0,80,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,0,66,70%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,2,Menos de 10 horas,63,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,2,0,33,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,1,Entre 11 y 20 horas,9,70%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,1,70%
F,Menos de 500 mil,No,Estrato 4,Si,Si,No,Si,No,0,Entre 21 y 30 horas,236,70%
M,Más de 7 millones,Si,Estrato 4,Si,Si,Si,Si,No,0,0,230,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,201,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,0,Más de 30 horas,185,70%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,180,70%
F,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,1,Más de 30 horas,174,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,Si,2,Más de 30 horas,172,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 6,Si,Si,Si,Si,No,0,Más de 30 horas,165,70%
F,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,1,Más de 30 horas,162,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,0,154,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,154,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 5,Si,Si,Si,Si,Si,2,Entre 11 y 20 horas,154,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,0,147,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,Si,No,0,Más de 30 horas,145,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,0,145,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,144,70%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,0,Menos de 10 horas,143,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,140,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,137,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,135,70%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,2,Menos de 10 horas,133,70%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,131,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,126,70%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Menos de 10 horas,125,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,118,70%
M,No pagó matrícula,Si,Estrato 3,No,Si,Si,Si,Si,1,Menos de 10 horas,116,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,2,Menos de 10 horas,61,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,2,Menos de 10 horas,41,70%
F,No pagó matrícula,No,Estrato 1,No,Si,Si,Si,Si,2,0,21,70%
M,Más de 7 millones,No,Estrato 6,Si,Si,Si,Si,No,0,Menos de 10 horas,5,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,212,70%
F,Más de 7 millones,No,Estrato 4,Si,Si,No,Si,Si,0,Entre 11 y 20 horas,183,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 4,Si,Si,No,Si,Si,2,Menos de 10 horas,181,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Menos de 10 horas,180,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,172,70%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,169,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,0,168,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,0,Más de 30 horas,167,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,166,70%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,Si,No,1,0,164,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,163,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,158,70%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,Si,2,Más de 30 horas,155,70%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,153,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,152,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,152,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Entre 11 y 20 horas,151,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Menos de 10 horas,150,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,0,Más de 30 horas,149,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Menos de 10 horas,148,70%
F,Entre 5.5 millones y menos de 7 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,0,147,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,146,70%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,146,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,139,70%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,0,131,70%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,2,Menos de 10 horas,130,70%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,Si,0,Menos de 10 horas,128,70%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,125,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,0,Entre 21 y 30 horas,124,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,Si,2,Menos de 10 horas,113,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,98,70%
F,No pagó matrícula,No,Estrato 5,Si,Si,Si,Si,No,1,Más de 30 horas,96,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,94,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,1,Menos de 10 horas,93,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,No,Si,Si,1,Más de 30 horas,201,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,2,0,197,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,2,0,194,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,1,Más de 30 horas,187,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,5 o 6,Entre 21 y 30 horas,185,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,2,0,184,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 5,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,179,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,0,Entre 11 y 20 horas,177,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,171,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,0,169,70%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,166,70%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,Si,1,Menos de 10 horas,165,70%
F,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,161,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 21 y 30 horas,160,70%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,No,Si,No,1,0,159,70%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,158,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,1,Entre 21 y 30 horas,152,70%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 6,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,151,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,151,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,No,1,Entre 21 y 30 horas,150,70%
F,Menos de 500 mil,No,Estrato 1,Si,Si,No,Si,Si,2,Entre 11 y 20 horas,150,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,146,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,No,No,2,0,145,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,140,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,140,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,140,70%
M,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,2,Menos de 10 horas,131,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,2,0,129,70%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,123,70%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,0,Más de 30 horas,121,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,0,121,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,0,119,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,118,70%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,2,0,114,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,No,No,0,Entre 11 y 20 horas,110,70%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,No,1,Menos de 10 horas,104,70%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,0,97,70%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,Si,3 o 4,0,86,70%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,85,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,78,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,0,74,70%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,65,70%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,No,No,1,Menos de 10 horas,50,70%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,0,44,70%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,Si,1,Entre 21 y 30 horas,18,70%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,6,70%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,2,0,186,60%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,0,0,184,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,1,Más de 30 horas,170,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,No,3 o 4,0,170,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,Si,1,Más de 30 horas,170,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,164,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,Si,5 o 6,Entre 21 y 30 horas,164,60%
M,Menos de 500 mil,No,Estrato 4,Si,Si,Si,No,No,1,Entre 21 y 30 horas,163,60%
M,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,Si,0,Más de 30 horas,160,60%
M,Entre 5.5 millones y menos de 7 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,160,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,157,60%
M,Entre 5.5 millones y menos de 7 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Menos de 10 horas,156,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,Si,1,Entre 21 y 30 horas,154,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,153,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,1,Entre 11 y 20 horas,151,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,151,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,147,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,147,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,Si,2,Más de 30 horas,142,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,142,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,Si,Si,1,Más de 30 horas,140,60%
